row,true_label,predicted_cluster,distance_to_centroid,is_ground_truth_noise
1,0,1,1.048543881,0
2,0,1,0.4956941645,0
3,-1,1,1.605760807,1
4,0,1,1.167190137,0
5,-2,1,2.806396862,1
6,0,1,0.9822542142,0
7,1,0,1.04350232,0
8,1,0,1.175256674,0
9,2,0,1.297954939,0
10,0,1,1.128647972,0
11,1,0,1.22722927,0
12,1,0,0.4942319683,0
13,1,0,1.278623212,0
14,0,1,1.646478104,0
15,0,1,1.109614243,0
16,0,1,1.457061874,0
17,0,1,1.259373153,0
18,-1,1,2.481874355,1
19,1,0,1.204357678,0
20,1,0,0.9632482772,0
21,0,1,1.72727796,0
22,0,1,0.8105101243,0
23,1,0,1.117784683,0
24,1,0,1.074054582,0
25,1,0,1.6251066,0
26,0,1,1.646842342,0
27,2,0,1.507690103,0
28,-1,0,1.985470005,1
29,2,0,1.459721468,0
30,0,1,1.157826453,0
31,1,0,1.140093116,0
32,0,1,1.658555997,0
33,1,0,1.070110947,0
34,-1,1,1.919511839,1
35,2,0,1.230616205,0
36,1,0,1.044201509,0
37,1,0,1.668645521,0
38,1,0,1.302619846,0
39,2,0,1.554833879,0
40,0,1,1.054592813,0
41,0,1,0.7119684123,0
42,-2,1,1.731072238,1
43,1,0,1.062169777,0
44,2,0,1.371791969,0
45,1,0,1.085862918,0
46,-2,0,2.850094834,1
47,0,1,1.157158259,0
48,-2,0,1.262531024,1
49,1,0,1.670934115,0
50,1,0,1.207160736,0
51,1,0,1.04967544,0
52,1,0,1.076792358,0
53,-1,0,1.402334756,1
54,1,0,0.7362582587,0
55,-1,1,1.995049871,1
56,0,1,1.350723509,0
57,1,0,0.9760589938,0
58,0,1,0.6504220449,0
59,1,0,1.087819797,0
60,1,0,1.342678904,0
61,2,0,1.797277207,0
62,2,0,1.843468752,0
63,0,1,1.077796208,0
64,0,1,0.6866738516,0
65,2,0,1.418591026,0
66,0,1,1.229345979,0
67,0,1,1.101244489,0
68,-1,0,1.368560137,1
69,1,0,2.062004249,0
70,1,0,1.655474119,0
71,1,0,0.820710613,0
72,1,0,1.470024544,0
73,0,1,0.7870298478,0
74,1,0,1.403929349,0
75,0,1,1.154880634,0
76,0,1,1.090346576,0
77,0,1,0.6871828346,0
78,0,1,0.5245473577,0
79,1,0,1.695316452,0
80,0,1,1.130298183,0
81,0,1,0.7158303411,0
82,0,1,1.016264217,0
83,0,1,1.142197283,0
84,0,1,0.7360563603,0
85,0,1,1.677665982,0
86,2,0,2.082186217,0
87,1,0,1.726217646,0
88,0,1,1.155931235,0
89,0,1,1.071779933,0
90,1,0,0.7776672308,0
91,0,1,0.8959261921,0
92,-1,1,3.04346449,1
93,0,1,1.054426537,0
94,-1,0,2.59065779,1
95,0,1,0.5899330112,0
96,1,0,0.4750482326,0
97,0,1,1.679016333,0
98,2,0,1.295696058,0
99,2,0,1.367368773,0
100,0,1,1.001613383,0
101,2,0,1.695782407,0
102,1,0,1.84544486,0
103,1,0,1.656010139,0
104,-2,1,2.071987763,1
105,1,0,1.643814918,0
