Radio Frequency,Pulse Width,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5400,139.9738493,1.665887898,1.535834078,Emitter_2,Emitter_2
5410,143.0769532,1.739919208,1.521824914,Emitter_2,Emitter_2
5400,160.6931474,1.574724431,1.971061871,Emitter_2,Emitter_2
5407.460062,140.2592788,1.642093468,1.716780429,Emitter_2,Emitter_2
5400.293385,1020.681542,0.221295286,0.018680763,Emitter_3,Emitter_3
5401.697043,142.3087181,2,1.611497866,Emitter_2,Emitter_2
5403.300636,1049.83548,0.391075578,0.131176424,Emitter_1,Emitter_3
5399.729068,162.1284635,1.839965793,2.044384207,Emitter_2,Emitter_2
5400,1008.692698,0.455204521,0,Emitter_3,Emitter_3
5408.397011,1039.240717,0.054632741,0,Emitter_3,Emitter_3
5400,1031.543994,0.027884268,0.265683599,Emitter_1,Emitter_3
5400,110.0972068,1.742767314,1.978212109,Emitter_2,Emitter_2
5402.766078,1029.507734,0.327016616,0.191547476,Emitter_3,Emitter_3
5400.121611,1081.616021,0.019147366,0.132505288,Emitter_1,Emitter_3
5400,157.8683191,1.773364981,1.77799371,Emitter_2,Emitter_2
5404.287511,154.6443615,1.55208329,1.817014525,Emitter_2,Emitter_2
5406.370801,116.584592,1.331924736,0.517266422,Noise,Noise
5403.430047,117.3398687,1.860370665,1.754502653,Emitter_2,Emitter_2
5400,160.7286471,2,1.927430333,Emitter_2,Emitter_2
5404.288728,1018.560916,1.139624452,0.933532112,Noise,Noise
5400,1020.67029,0.224805987,0.067530441,Emitter_1,Emitter_3
5400,1024.49329,0.322708724,0.267739326,Emitter_1,Emitter_3
5406.66541,136.7060791,1.620731778,1.614074724,Emitter_2,Emitter_2
5400,1019.597848,0.222706477,0,Emitter_3,Emitter_3
5400,151.6335377,1.855464475,1.836628657,Emitter_2,Emitter_2
5404.626063,762.9991022,0.538571638,0.801826157,Noise,Noise
5400,146.9017237,1.67618538,1.67675081,Emitter_2,Emitter_2
5401.352164,1050.434345,0.566566157,0.050149385,Emitter_3,Emitter_3
5410,995.1971367,0.490577252,0,Emitter_1,Emitter_3
5400,1037.702041,0.473232915,0.144518084,Emitter_1,Emitter_3
5410,1035.548918,0,0.188678994,Emitter_3,Emitter_3
5400,139.6667173,1.343916805,1.886019096,Emitter_2,Emitter_2
5409.719305,1017.86206,0.372396159,0.094757786,Emitter_3,Emitter_3
5401.769702,986.7150107,0.487989914,0,Emitter_3,Emitter_3
5400,165.3425629,1.764617624,1.928022978,Emitter_2,Emitter_2
5401.54153,1025.538891,0,0.372224461,Emitter_3,Emitter_3
5409.336032,146.228167,1.768486448,1.465711788,Emitter_2,Emitter_2
5401.523728,132.7637202,1.773185078,1.798309421,Emitter_2,Emitter_2
5401.375418,164.5597562,1.525975499,1.574275835,Emitter_2,Emitter_2
5403.626589,98.49765237,1.666624838,1.882886188,Emitter_2,Emitter_2
5410,105.8901311,1.901179522,1.86100676,Emitter_2,Emitter_2
5400,199.9439658,1.693115288,1.855774954,Emitter_2,Emitter_2
5409.907997,1046.282092,0.446347445,0,Emitter_3,Emitter_3
5401.663329,224.0065969,0.14198593,1.571855234,Noise,Noise
5406.307036,1037.426913,0.626504082,0,Emitter_1,Emitter_3
5410,145.7889563,1.682922398,1.989849174,Emitter_2,Emitter_2
5400.308022,469.5982605,0.35909366,0.739721786,Noise,Noise
5410,1044.08536,0.534935072,0.146012882,Emitter_3,Emitter_3
5400,1039.853919,0.415314059,0,Emitter_1,Emitter_3
5400,1025.680109,0,0,Emitter_3,Emitter_3
5407.061097,672.7425037,1.187447185,0.603909075,Noise,Noise
5410,145.7097233,1.659306642,1.616849419,Emitter_2,Emitter_2
5406.112153,999.3464853,0,0.215728757,Emitter_3,Emitter_3
5400,1009.300504,0.077919282,0.157158064,Emitter_3,Emitter_3
5400,144.7110442,2,1.736599482,Emitter_2,Emitter_2
5408.761829,786.3296375,1.732761198,1.993264388,Noise,Emitter_2
5400,160.3626297,1.447973306,2,Emitter_2,Emitter_2
5410,984.6673523,0.136146439,0.174557985,Emitter_3,Emitter_3
5400,147.2885215,2,2,Emitter_2,Emitter_2
5402.238222,1036.271255,0.207490139,0,Emitter_1,Emitter_3
5410,126.2475056,1.984253222,1.864170095,Emitter_2,Emitter_2
5400,178.3451907,1.969411984,1.970431181,Emitter_2,Emitter_2
5400,106.4158382,1.802316223,1.811438848,Emitter_2,Emitter_2
5410,162.3708282,1.701361913,1.631589201,Emitter_2,Emitter_2
5400,107.0461293,1.780585265,2,Emitter_2,Emitter_2
5400,992.3525513,0.219698275,0.031735222,Emitter_3,Emitter_3
5401.3234,1008.550958,0.02399537,0.222565553,Emitter_3,Emitter_3
5400.033763,172.9256677,1.651714484,1.797382038,Emitter_2,Emitter_2
5410,1009.20662,0.301845109,0.230842898,Emitter_3,Emitter_3
5401.065487,157.5198077,1.686874313,1.893213272,Emitter_2,Emitter_2
5400,170.6751954,2,2,Emitter_2,Emitter_2
5410,1038.013784,0.601508153,0.274321699,Emitter_1,Emitter_3
5400,145.4787147,1.697172229,2,Emitter_2,Emitter_2
5406.647152,1005.091248,1.905874857,0.100074082,Noise,Noise
5400,1012.396474,0.353327456,0,Emitter_3,Emitter_3
5410,134.7430187,1.853658233,1.548131467,Emitter_2,Emitter_2
5400,995.8974264,0.362178334,0.124077542,Emitter_1,Emitter_3
5400.189293,152.6727414,1.661611694,1.994151616,Emitter_2,Emitter_2
5400,126.0086144,2,2,Emitter_2,Emitter_2
5405.632063,121.0906332,2,1.771052425,Emitter_2,Emitter_2
5410,123.6438241,1.82540854,1.863198062,Emitter_2,Emitter_2
5400,1018.360253,0.381039803,0,Emitter_3,Emitter_3
5410,1014.261966,0.353978348,0,Emitter_3,Emitter_3
5404.814623,724.6722194,0.580193748,1.347674216,Noise,Noise
5400,126.6126752,0.906879227,1.703325372,Emitter_2,Noise
5410,119.8465387,1.855718467,1.555895308,Emitter_2,Emitter_2
5410,1025.159159,0.3469986,0,Emitter_3,Emitter_3
5410,117.7579621,1.836743329,1.763650762,Emitter_2,Emitter_2
5400.707369,335.3651578,1.023677488,0.661951627,Noise,Emitter_2
5400,129.4608971,1.741794821,1.693414012,Emitter_2,Emitter_2
5410,126.3191311,1.827411123,2,Emitter_2,Emitter_2
5407.832124,165.0786359,1.76794594,1.655090135,Emitter_2,Emitter_2
5400.747074,255.4240648,1.420296069,1.499437336,Noise,Emitter_2
5410,141.4039558,1.905583047,1.974297712,Emitter_2,Emitter_2
5400,1031.014914,0.521968163,0,Emitter_3,Emitter_3
5407.844861,132.5399255,2,1.674396429,Emitter_2,Emitter_2
5404.555795,831.9844388,1.103096239,1.641887621,Noise,Noise
5400,1070.03483,0.468031272,0.232034138,Emitter_3,Emitter_3
5400,1007.510959,0.243327527,0.164051177,Emitter_3,Emitter_3
5400,145.3001272,1.761900131,1.857193204,Emitter_2,Emitter_2
5400,141.5220483,1.793954368,1.583158226,Emitter_2,Emitter_2
5401.024837,442.1697962,1.552661303,0.750161434,Noise,Noise
5410,100,1.819241808,1.99983002,Emitter_2,Emitter_2
5400,1033.882001,0.372831214,0,Emitter_3,Emitter_3
5403.688508,134.7605629,2,2,Emitter_2,Emitter_2
5410,106.0314618,1.747491158,1.909171988,Emitter_2,Emitter_2
5403.38369,139.8676751,1.602312118,1.797475064,Emitter_2,Emitter_2
5410,1025.302541,0.456764041,0,Emitter_3,Emitter_3
5400,1026.801608,0.80196353,0.078035243,Emitter_3,Emitter_3
5410,1062.939357,0,0.202603749,Emitter_1,Emitter_3
5404.60226,150.2118534,1.615336189,1.775684769,Emitter_2,Emitter_2
5410,1004.929034,0.30544335,0,Emitter_1,Emitter_3
5410,157.7461792,1.720192999,1.902573717,Emitter_2,Emitter_2
5402.170521,548.1143673,1.838860575,0.095603834,Noise,Noise
5400,1008.022265,0,0,Emitter_3,Emitter_3
5402.500193,985.4483941,0.150745709,-0.047212646,Emitter_3,Emitter_3
5407.42022,1036.167701,0.549612109,0.322975101,Emitter_3,Emitter_3
5404.224223,643.8827063,1.668322879,0.539721635,Noise,Noise
5400,1036.314615,0.222658118,0,Emitter_1,Emitter_3
5400,1007.568273,0.30340163,0,Emitter_3,Emitter_3
5400,1002.230202,0.217764868,0.12423828,Emitter_3,Emitter_3
5400,1001.62975,0.501091407,0,Emitter_3,Emitter_3
5410,166.8991933,1.619240644,1.621221492,Emitter_2,Emitter_2
5408.257666,157.8081601,2,1.669221898,Emitter_2,Emitter_2
5402.864108,1047.168135,0.311251247,0,Emitter_3,Emitter_3
5400,1041.749587,0.440837903,0,Emitter_3,Emitter_3
5400,1074.821014,0.131806348,0,Emitter_1,Emitter_3
5407.5226,1003.464742,0.192977302,0.119334367,Emitter_3,Emitter_3
5410,158.8736994,1.883029713,1.800552298,Emitter_2,Emitter_2
5400,1008.561448,0.051157572,0,Emitter_1,Emitter_3
5400,1022.646697,0.258059202,0.238111537,Emitter_3,Emitter_3
5400,1006.117005,0.185674632,0.066925428,Emitter_3,Emitter_3
5410,1023.807962,0.550753852,0,Emitter_3,Emitter_3
5407.415416,135.8914134,1.887591222,1.804110505,Emitter_2,Emitter_2
5410,126.0584217,1.85727754,1.932241852,Emitter_2,Emitter_2
5400,124.0694885,1.661162586,1.77359063,Emitter_2,Emitter_2
5405.961032,1059.141576,0.688847775,0.070068908,Emitter_3,Emitter_3
5400,105.1548206,1.810777721,1.705456147,Emitter_2,Emitter_2
5403.077485,284.2753334,1.129894654,0.276450973,Noise,Emitter_2
5406.275681,150.2455068,1.944913917,1.857876762,Emitter_2,Emitter_2
5400,1029.319831,0.195787383,0.054189716,Emitter_3,Emitter_3
5400.629919,157.3820838,1.839941871,1.255769687,Emitter_2,Emitter_2
5410,1015.820807,0.730515254,0.088822868,Emitter_3,Emitter_3
5400.108966,1031.244634,0.134158067,0,Emitter_3,Emitter_3
5410,1056.464894,0.251197872,0.274908211,Emitter_3,Emitter_3
5400,1070.520497,0.223161825,0,Emitter_3,Emitter_3
5410,1060.441291,0,0.117665807,Emitter_3,Emitter_3
5408.331838,894.5024026,0.480000498,1.0169719,Noise,Noise
