Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5400,1.665887898,1.535834078,Emitter_2,Noise
5410,1.739919208,1.521824914,Emitter_2,Emitter_2
5400,1.574724431,1.971061871,Emitter_2,Emitter_2
5407.460062,1.642093468,1.716780429,Emitter_2,Emitter_2
5400.293385,0.221295286,0.018680763,Emitter_3,Emitter_3
5401.697043,2,1.611497866,Emitter_2,Emitter_2
5403.300636,0.391075578,0.131176424,Emitter_1,Noise
5399.729068,1.839965793,2.044384207,Emitter_2,Emitter_2
5400,0.455204521,0,Emitter_3,Emitter_3
5408.397011,0.054632741,0,Emitter_3,Emitter_3
5400,0.027884268,0.265683599,Emitter_1,Emitter_3
5400,1.742767314,1.978212109,Emitter_2,Emitter_2
5402.766078,0.327016616,0.191547476,Emitter_3,Noise
5400.121611,0.019147366,0.132505288,Emitter_1,Emitter_3
5400,1.773364981,1.77799371,Emitter_2,Emitter_2
5404.287511,1.55208329,1.817014525,Emitter_2,Noise
5406.370801,1.331924736,0.517266422,Noise,Noise
5403.430047,1.860370665,1.754502653,Emitter_2,Emitter_2
5400,2,1.927430333,Emitter_2,Emitter_2
5404.288728,1.139624452,0.933532112,Noise,Noise
5400,0.224805987,0.067530441,Emitter_1,Emitter_3
5400,0.322708724,0.267739326,Emitter_1,Emitter_3
5406.66541,1.620731778,1.614074724,Emitter_2,Emitter_2
5400,0.222706477,0,Emitter_3,Emitter_3
5400,1.855464475,1.836628657,Emitter_2,Emitter_2
5404.626063,0.538571638,0.801826157,Noise,Noise
5400,1.67618538,1.67675081,Emitter_2,Noise
5401.352164,0.566566157,0.050149385,Emitter_3,Emitter_3
5410,0.490577252,0,Emitter_1,Emitter_3
5400,0.473232915,0.144518084,Emitter_1,Emitter_3
5410,0,0.188678994,Emitter_3,Emitter_3
5400,1.343916805,1.886019096,Emitter_2,Noise
5409.719305,0.372396159,0.094757786,Emitter_3,Emitter_3
5401.769702,0.487989914,0,Emitter_3,Emitter_3
5400,1.764617624,1.928022978,Emitter_2,Emitter_2
5401.54153,0,0.372224461,Emitter_3,Noise
5409.336032,1.768486448,1.465711788,Emitter_2,Emitter_2
5401.523728,1.773185078,1.798309421,Emitter_2,Emitter_2
5401.375418,1.525975499,1.574275835,Emitter_2,Noise
5403.626589,1.666624838,1.882886188,Emitter_2,Emitter_2
5410,1.901179522,1.86100676,Emitter_2,Emitter_2
5400,1.693115288,1.855774954,Emitter_2,Emitter_2
5409.907997,0.446347445,0,Emitter_3,Emitter_3
5401.663329,0.14198593,1.571855234,Noise,Noise
5406.307036,0.626504082,0,Emitter_1,Noise
5410,1.682922398,1.989849174,Emitter_2,Emitter_2
5400.308022,0.35909366,0.739721786,Noise,Noise
5410,0.534935072,0.146012882,Emitter_3,Emitter_3
5400,0.415314059,0,Emitter_1,Emitter_3
