Radio Frequency,Azimuth,Angle Of Elevation
5400,1.665887898,1.535834078
5410,1.739919208,1.521824914
5400,1.574724431,1.971061871
5407.460062,1.642093468,1.716780429
5400.293385,0.221295286,0.018680763
5401.697043,2,1.611497866
5403.300636,0.391075578,0.131176424
5399.729068,1.839965793,2.044384207
5400,0.455204521,0
5408.397011,0.054632741,0
5400,0.027884268,0.265683599
5400,1.742767314,1.978212109
5402.766078,0.327016616,0.191547476
5400.121611,0.019147366,0.132505288
5400,1.773364981,1.77799371
5404.287511,1.55208329,1.817014525
5406.370801,1.331924736,0.517266422
5403.430047,1.860370665,1.754502653
5400,2,1.927430333
5404.288728,1.139624452,0.933532112
5400,0.224805987,0.067530441
5400,0.322708724,0.267739326
5406.66541,1.620731778,1.614074724
5400,0.222706477,0
5400,1.855464475,1.836628657
5404.626063,0.538571638,0.801826157
5400,1.67618538,1.67675081
5401.352164,0.566566157,0.050149385
5410,0.490577252,0
5400,0.473232915,0.144518084
5410,0,0.188678994
5400,1.343916805,1.886019096
5409.719305,0.372396159,0.094757786
5401.769702,0.487989914,0
5400,1.764617624,1.928022978
5401.54153,0,0.372224461
5409.336032,1.768486448,1.465711788
5401.523728,1.773185078,1.798309421
5401.375418,1.525975499,1.574275835
5403.626589,1.666624838,1.882886188
5410,1.901179522,1.86100676
5400,1.693115288,1.855774954
5409.907997,0.446347445,0
5401.663329,0.14198593,1.571855234
5406.307036,0.626504082,0
5410,1.682922398,1.989849174
5400.308022,0.35909366,0.739721786
5410,0.534935072,0.146012882
5400,0.415314059,0
5400,0,0
5407.061097,1.187447185,0.603909075
5410,1.659306642,1.616849419
5406.112153,0,0.215728757
5400,0.077919282,0.157158064
5400,2,1.736599482
5408.761829,1.732761198,1.993264388
5400,1.447973306,2
5410,0.136146439,0.174557985
5400,2,2
5402.238222,0.207490139,0
5410,1.984253222,1.864170095
5400,1.969411984,1.970431181
5400,1.802316223,1.811438848
5410,1.701361913,1.631589201
5400,1.780585265,2
5400,0.219698275,0.031735222
5401.3234,0.02399537,0.222565553
5400.033763,1.651714484,1.797382038
5410,0.301845109,0.230842898
5401.065487,1.686874313,1.893213272
5400,2,2
5410,0.601508153,0.274321699
5400,1.697172229,2
5406.647152,1.905874857,0.100074082
5400,0.353327456,0
5410,1.853658233,1.548131467
5400,0.362178334,0.124077542
5400.189293,1.661611694,1.994151616
5400,2,2
5405.632063,2,1.771052425
5410,1.82540854,1.863198062
5400,0.381039803,0
5410,0.353978348,0
5404.814623,0.580193748,1.347674216
5400,0.906879227,1.703325372
5410,1.855718467,1.555895308
5410,0.3469986,0
5410,1.836743329,1.763650762
5400.707369,1.023677488,0.661951627
5400,1.741794821,1.693414012
5410,1.827411123,2
5407.832124,1.76794594,1.655090135
5400.747074,1.420296069,1.499437336
5410,1.905583047,1.974297712
5400,0.521968163,0
5407.844861,2,1.674396429
5404.555795,1.103096239,1.641887621
5400,0.468031272,0.232034138
5400,0.243327527,0.164051177
5400,1.761900131,1.857193204
5400,1.793954368,1.583158226
5401.024837,1.552661303,0.750161434
5410,1.819241808,1.99983002
5400,0.372831214,0
5403.688508,2,2
5410,1.747491158,1.909171988
5403.38369,1.602312118,1.797475064
5410,0.456764041,0
5400,0.80196353,0.078035243
5410,0,0.202603749
5404.60226,1.615336189,1.775684769
5410,0.30544335,0
5410,1.720192999,1.902573717
5402.170521,1.838860575,0.095603834
5400,0,0
5402.500193,0.150745709,-0.047212646
5407.42022,0.549612109,0.322975101
5404.224223,1.668322879,0.539721635
5400,0.222658118,0
5400,0.30340163,0
5400,0.217764868,0.12423828
5400,0.501091407,0
5410,1.619240644,1.621221492
5408.257666,2,1.669221898
5402.864108,0.311251247,0
5400,0.440837903,0
5400,0.131806348,0
5407.5226,0.192977302,0.119334367
5410,1.883029713,1.800552298
5400,0.051157572,0
5400,0.258059202,0.238111537
5400,0.185674632,0.066925428
5410,0.550753852,0
5407.415416,1.887591222,1.804110505
5410,1.85727754,1.932241852
5400,1.661162586,1.77359063
5405.961032,0.688847775,0.070068908
5400,1.810777721,1.705456147
5403.077485,1.129894654,0.276450973
5406.275681,1.944913917,1.857876762
5400,0.195787383,0.054189716
5400.629919,1.839941871,1.255769687
5410,0.730515254,0.088822868
5400.108966,0.134158067,0
5410,0.251197872,0.274908211
5400,0.223161825,0
5410,0,0.117665807
5408.331838,0.480000498,1.0169719
5406.220206,1.754713405,1.912868707
5410,1.824217119,1.57054876
5404.959748,0.890356348,0
5409.442042,0.732207717,0.237841384
5400,0.442638346,0.089380704
5409.107986,1.706519924,1.384095028
5402.065054,1.863055856,2
5400.413491,1.086996753,1.642522682
5403.646082,0.70757519,0.148705893
5404.288915,1.798684083,1.460538621
5400,0.362351258,0.401458846
5400,0.25774607,0
5400,1.983803104,1.525247662
5403.083225,2,1.949444473
5405.102802,0.487359973,1.49888529
5400,1.765561477,1.781692846
5400,1.758242649,2
5400,0.214738087,0
5400,0.31467332,0.155126973
5410,1.601817409,1.790525439
5400,0.181999639,0.065220762
5400.799526,0.478158022,0
5400,1.640004986,1.850831469
5400,1.960412542,1.825864042
5400,1.875399205,1.808635356
5408.336397,0.378457051,0.772685634
5401.446014,0.376458457,0.041733421
5400,2,1.605786183
5400,0.206047127,0.226159555
5400,0.329026496,0.023243844
5400,2,1.913533364
5400,1.428522619,1.447828518
5407.810359,0.162616108,0.077426092
5404.020091,0.077378576,0
5404.322763,1.920953756,0.13707413
5400,2,1.657261443
5406.614772,0.32451661,0.104147701
5400,0.202737601,0.123552298
5408.589869,1.861183884,1.933977245
5402.089667,0.14658929,0.035343611
5410,0.181940147,0
5403.553838,1.675241382,1.762631497
5400,0.330639124,0.277355064
5400,1.442065309,1.943516728
5404.475817,1.637557433,1.764401871
5410,0.481376647,0
5409.703194,0.734671569,0.170812618
5410,0.592388529,0
5402.537502,1.194082075,0.85517794
5408.932625,1.604555177,1.819293408
5407.141058,1.724403251,1.786431901
5411.200469,1.564572305,2.160017516
5404.099845,1.768248207,1.652347852
5403.205414,1.543319302,2
5400,1.803551591,1.713794561
5400,2,1.458665807
5405.158266,1.795651184,2
5400,1.960565782,1.794496334
5410,1.813353491,1.604638237
5410,0.661658016,0
5407.843725,0.370756373,0.02719391
5402.742451,0.741568444,1.646736393
5410,1.818035699,1.998752829
5401.675282,1.738207706,1.947861544
5409.981035,0.549292033,0
5400,1.643264726,2
5408.230565,0.336139429,0
5404.417549,0.886014328,1.103608136
5400,1.8087827,2
5403.667089,0.228680947,0.330898819
5400,2,1.948581748
5401.391394,0.005427099,1.07227103
5401.080382,0.330002661,0.190862016
5406.784406,0.135805033,0.466917963
5406.994507,1.872031061,1.729764382
5403.3729,0.296048231,0.254523231
5400,0.3773207,0
5400,1.749550513,1.619103517
5400,0.226955575,0.0336624
5400,1.9750049,1.814744673
5400,0.464667636,0.112121965
5403.269319,2,1.796017536
5403.264445,1.963205906,0.244230759
5400,1.858611766,1.516912023
5409.091128,1.598213131,1.52368762
5403.71618,2.061080235,1.963941202
5400,1.677897267,1.80708393
5405.230016,1.258480091,0.828461459
5410,1.98902378,1.869012546
5406.193465,1.961046255,1.521528927
5403.378295,2,1.673408179
5400,0.277006595,0.093126738
5409.836599,2,1.543107687
5400,1.624354918,1.687846199
5404.51532,1.303168721,0.935245783
5403.568845,1.994305526,0.174918612
5410,1.772105437,1.860331001
5400,0.292670614,0
5400,0,0
5398.964585,0.382887333,0.217134757
5404.132417,2,1.944891946
5410,1.879504566,1.811495574
5400.423538,1.025734621,0.675515312
5399.819535,1.746920631,2.011855494
5399.30511,2.09082776,1.701472367
5400,0.327667643,0.08695013
5410,0.22486983,0.036682808
5400,1.493643992,1.552436983
5400,0.318605039,0
5401.526139,0.060175734,0.148959958
5400,1.614380449,1.671717723
5410,1.961189678,1.546772924
5403.313199,0.191807303,0
5400,1.877704375,1.922723593
5400,1.911084571,1.631320478
5403.702937,0.071857151,0.07653197
5406.70613,1.99124983,1.799321993
5400,1.797783895,1.616538429
5410,1.592062211,1.820124786
5400,1.779537483,2
5400,0.431074767,0.415262427
5400,1.959386513,1.545733026
5410,1.707423774,2
5401.444927,0.452619861,0
5403.254221,0.262454698,0
5410,0.211085009,0
5406.241487,0.018180759,1.018346869
5400,0.466638649,0.306528216
5400,1.744911439,1.917435702
5410,0,0.287505817
5400,1.770106261,1.602140779
5400,0.136491465,0.083248266
5408.791791,1.501350843,1.785501317
5408.84725,0.744641986,1.919111895
5410,2,2
5410,0.29201251,0.093703539
5400,1.559193726,1.925076891
5410,0,0.285611139
5400,1.968258997,1.637434272
5408.586132,1.658471231,1.630584066
5400,2,1.333677022
5410,0.509787987,0
5402.499951,2,1.941609893
5405.639021,0.421462113,0
5400.907114,1.854747876,1.926531421
5410,1.679377189,1.611034785
5400,0.386585117,0.06174089
5400,1.913591487,1.956370185
5401.027621,0.420558248,0
5410,1.78388887,1.882700014
5400,0.186890962,0.125930874
5405.775888,1.581022882,2
5400.505363,1.924773357,2
5410,0.101449997,0.21822523
5401.577479,0.091670557,0
5400,0.160439886,0.098926929
5400,1.693969117,1.763495669
5406.653231,1.174016114,0.977375868
5400,2,1.523279999
