row,true_label,predicted_cluster,distance_to_centroid,is_ground_truth_noise
1,1,2,1.165953607,0
2,0,1,1.380783491,0
3,0,1,1.083945325,0
4,0,1,1.288146522,0
5,0,1,2.094403384,0
6,1,2,1.018127866,0
7,0,1,0.9087071867,0
8,1,2,0.9506630336,0
9,0,1,1.53641426,0
10,1,2,0.4129549528,0
11,0,1,1.699412713,0
12,0,1,1.938471802,0
13,0,1,1.514960989,0
14,1,2,0.9286380572,0
15,1,2,1.114458587,0
16,0,1,1.159800941,0
17,0,1,1.851485258,0
18,0,1,1.758123532,0
19,1,2,1.107063709,0
20,1,2,0.9473140483,0
21,-2,0,1.931782549,1
22,0,1,1.123058021,0
23,0,1,1.514663512,0
24,0,1,1.330999425,0
25,0,1,0.9202052405,0
26,0,1,1.265109407,0
27,0,1,1.048770904,0
28,0,1,0.9804606978,0
29,1,2,1.966017095,0
30,0,1,1.528770752,0
31,0,1,1.256045839,0
32,1,2,1.032419681,0
33,0,1,1.684687297,0
34,0,1,1.375343608,0
35,0,1,0.7659168619,0
36,0,1,0.5623594331,0
37,1,2,0.4888215663,0
38,0,1,1.116231728,0
39,0,1,1.516380898,0
40,0,1,1.416993202,0
41,-1,1,1.960879415,1
42,0,1,1.272254065,0
43,0,1,0.6068782752,0
44,-1,0,2.354892435,1
45,0,1,0.8067423196,0
46,1,2,1.159310633,0
47,0,1,1.807052501,0
48,-2,1,2.312819677,1
49,0,1,1.251314809,0
50,1,2,0.9906387567,0
51,0,1,1.168688789,0
52,1,2,1.644061015,0
53,0,1,0.6119751932,0
54,0,1,0.9588538152,0
55,0,1,0.9903456731,0
56,1,2,1.801042161,0
57,1,2,1.149761039,0
58,0,1,1.901328564,0
59,1,2,0.9816129498,0
60,1,2,1.023647994,0
61,0,1,0.9617932183,0
62,0,1,1.25154772,0
63,0,1,1.670355871,0
64,0,1,2.035633867,0
65,0,1,1.15783369,0
66,0,1,1.41819092,0
67,1,2,0.8670611995,0
68,1,2,1.84619915,0
69,0,1,0.7475597119,0
70,0,1,1.053966576,0
71,1,2,1.022193116,0
72,0,1,1.5948523,0
73,0,1,0.9497025556,0
74,1,2,0.9468085772,0
75,0,1,1.198680767,0
76,-2,1,1.977103909,1
77,0,1,0.9732526058,0
78,0,1,1.268353153,0
79,0,1,0.5084513889,0
80,1,2,1.115688574,0
81,0,1,1.095038295,0
82,0,1,1.914890815,0
83,1,2,1.812440521,0
84,0,1,1.452085741,0
85,0,1,1.420178913,0
86,0,1,1.806814636,0
87,0,1,1.138599247,0
88,0,1,0.9325502976,0
89,0,1,1.216809367,0
90,1,2,0.9281341637,0
91,0,1,2.380539333,0
92,0,1,1.79989315,0
93,0,1,0.962330642,0
94,0,1,1.795752228,0
95,0,1,0.9747372235,0
96,-1,1,1.986780321,1
97,0,1,1.351554574,0
98,1,2,1.206617303,0
99,-2,1,2.156803598,1
100,1,2,0.771366325,0
101,0,1,0.9659540256,0
102,0,1,1.260723117,0
103,0,1,1.232528502,0
104,0,1,1.658495071,0
105,-2,1,2.257886139,1
106,0,1,1.183915196,0
107,1,2,1.641636829,0
108,1,2,1.062294123,0
109,1,2,1.716942636,0
110,0,1,1.313266056,0
111,0,1,1.025911818,0
112,0,1,1.302712627,0
113,0,1,1.152306203,0
114,0,1,1.732278751,0
115,0,1,1.504378199,0
116,1,2,1.26451745,0
117,0,1,1.466251901,0
118,0,1,1.781289984,0
119,-2,0,1.89290035,1
120,0,1,1.199217212,0
121,1,2,0.8307949557,0
122,0,1,1.186209072,0
123,0,1,2.001795169,0
124,0,1,1.099025821,0
125,0,1,1.824158623,0
126,0,1,1.704240772,0
127,0,1,1.21872698,0
128,0,1,0.9963259222,0
129,-1,1,1.678284747,1
130,1,2,0.9140442859,0
131,0,1,1.719200629,0
132,-2,2,2.2699653,1
133,1,2,1.062124499,0
134,0,1,1.146884986,0
135,0,1,0.5251407419,0
136,0,1,1.408713873,0
137,0,1,2.071253574,0
138,0,1,1.101428881,0
139,-2,0,2.242335933,1
140,0,1,1.680678195,0
141,0,1,1.452793238,0
142,0,1,1.437677611,0
143,1,2,1.591491263,0
144,-2,1,1.987365662,1
145,1,2,1.271589966,0
146,0,1,1.344756068,0
147,0,1,1.328662136,0
148,-1,1,2.565695686,1
149,0,1,2.000823937,0
150,-1,1,2.248174235,1
151,0,1,1.339362363,0
152,0,1,1.141260628,0
153,0,1,1.233328078,0
154,0,1,0.9087601347,0
155,0,1,1.300089685,0
156,1,2,1.350219943,0
157,0,1,0.8745238424,0
158,0,1,1.673274588,0
159,1,2,1.904638284,0
160,0,1,0.8266919516,0
161,1,2,0.9420217903,0
162,0,1,1.678851905,0
163,0,1,1.509393647,0
164,1,2,1.030549394,0
165,0,1,1.199470907,0
166,0,1,1.165951845,0
167,0,1,1.311050523,0
168,1,2,1.206423878,0
169,0,1,1.314779441,0
170,0,1,1.292637472,0
171,0,1,1.576840126,0
172,0,1,1.787992765,0
173,0,1,1.316265371,0
174,0,1,1.258388987,0
175,0,1,0.8784352042,0
176,0,1,1.00720842,0
177,0,1,1.789921731,0
178,0,1,0.9599626302,0
179,0,1,1.028689631,0
180,1,2,1.350628406,0
181,0,1,1.232141951,0
182,0,1,0.9993732786,0
183,0,1,1.179910805,0
184,1,2,1.718680493,0
185,-2,1,1.799335482,1
186,0,1,1.726536572,0
187,0,1,1.761765349,0
188,0,1,1.872714077,0
189,0,1,1.487707002,0
190,0,1,1.105369975,0
191,0,1,1.493743077,0
192,0,1,1.537882435,0
193,0,1,1.511849562,0
194,0,1,1.470327938,0
195,0,1,1.37008099,0
196,0,1,1.746480322,0
197,0,1,1.469213725,0
198,1,2,1.1972105,0
199,0,1,1.94095181,0
200,0,1,1.334887899,0
