Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5400,0.507689913,0,Emitter_1,Emitter_1
5400,1.584966898,1.876788782,Emitter_2,Emitter_2
5404.799297,1.488558984,0.763141526,Emitter_2,Emitter_2
5400,1.624169919,0.928915347,Emitter_2,Emitter_2
5411.674459,1.715006602,1.117321688,Emitter_2,Noise
5407.031054,0.038122289,0.030956329,Emitter_1,Emitter_1
5401.397657,1.528873047,0.906027334,Emitter_2,Emitter_2
5400,0.44965364,0.201739329,Emitter_1,Emitter_1
5400,1.815481101,2,Emitter_2,Emitter_2
5404.265603,0.285745224,0,Emitter_1,Emitter_1
5410,1.553712453,1.693545749,Emitter_2,Emitter_2
5410,1.800976567,1.862754465,Emitter_2,Emitter_2
5400,1.740226478,2,Emitter_2,Emitter_2
5401.062778,0.132285357,0.193687239,Emitter_1,Emitter_1
5400,0.069377578,0.093804663,Emitter_1,Emitter_1
5400,1.795150401,1.781903134,Emitter_2,Emitter_2
5410,1.724705947,1.913409814,Emitter_2,Emitter_2
5408.774565,1.692498811,0.632040641,Emitter_2,Emitter_2
5401.223856,0.404600935,0.045562334,Emitter_1,Emitter_1
5401.303594,0.133156019,0,Emitter_1,Emitter_1
5406.00246,1.354028229,1.903387942,Noise,Noise
5400,1.633015865,1.41003505,Emitter_2,Emitter_2
5400.840731,1.534719061,0.649379544,Emitter_2,Emitter_2
5400,1.627172177,1.908434436,Emitter_2,Emitter_2
5404.493476,1.529698406,0.969734996,Emitter_2,Emitter_2
5400,1.934135416,1.558359257,Emitter_2,Emitter_2
5402.391573,1.992448384,1.62013267,Emitter_2,Emitter_2
5400.879627,1.3424413,0.995532824,Emitter_2,Emitter_2
5410,0.671526869,0,Emitter_1,Emitter_1
5400,1.943107499,1.774780047,Emitter_2,Emitter_2
5400,1.613221892,1.722182414,Emitter_2,Emitter_2
5400,0.567308297,0,Emitter_1,Emitter_1
5408.901742,1.746874876,2,Emitter_2,Emitter_2
5400,1.638308087,2,Emitter_2,Emitter_2
5402.13329,1.797302958,1.66585842,Emitter_2,Emitter_2
5403.137472,1.487903584,1.145941392,Emitter_2,Emitter_2
5402.377517,0.169007496,0,Emitter_1,Emitter_1
5400,1.342568776,1.072936769,Emitter_2,Emitter_2
5408.250366,1.883775778,1.745055441,Emitter_2,Emitter_2
5407.428911,1.844456776,1.804971702,Emitter_2,Emitter_2
5405.981564,1.688584674,1.561467529,Noise,Emitter_2
5400,1.394598652,0.960835185,Emitter_2,Emitter_2
5404.033104,1.869154726,1.270978097,Emitter_2,Emitter_2
5402.322449,1.600266842,1.79233694,Noise,Emitter_2
5404.017178,1.209076381,1.093563218,Emitter_2,Emitter_2
5400,0.235199491,0.263089498,Emitter_1,Emitter_1
5410,1.768427299,1.605251258,Emitter_2,Emitter_2
5407.367605,1.452337543,0.107960858,Noise,Noise
5400,1.525065697,0.786769741,Emitter_2,Emitter_2
5400,0.38290616,0.360769259,Emitter_1,Emitter_1
5400,1.485821526,1.471648046,Emitter_2,Emitter_2
5410,0.156765302,0,Emitter_1,Emitter_1
5401.831999,1.502767525,1.096033287,Emitter_2,Emitter_2
5400.187401,1.655355326,1.176302322,Emitter_2,Emitter_2
5400,1.776906222,1.496706902,Emitter_2,Emitter_2
5410,0.477281075,0.214326168,Emitter_1,Emitter_1
5400,0.429169531,0.540535968,Emitter_1,Emitter_1
5410,1.563975801,2,Emitter_2,Emitter_2
5400,0.427328576,0,Emitter_1,Emitter_1
5400.075382,0.162843858,-0.094884191,Emitter_1,Emitter_1
5401.406788,1.782349367,1.735723588,Emitter_2,Emitter_2
5400,1.238218027,1.176833505,Emitter_2,Emitter_2
5400,1.549697546,0.429807444,Emitter_2,Emitter_2
5410,2,2,Emitter_2,Emitter_2
5400,1.62272973,1.801759647,Emitter_2,Emitter_2
5400,2,1.93014523,Emitter_2,Emitter_2
5405.108192,0,0,Emitter_1,Emitter_1
5400,0.451798392,0,Emitter_1,Emitter_1
5403.196881,1.501007441,1.107656213,Emitter_2,Emitter_2
5400,1.519541609,1.570947106,Emitter_2,Emitter_2
5400,0.16061522,0,Emitter_1,Emitter_1
5400,1.021609993,0.806443564,Emitter_2,Emitter_2
5400,1.599644557,1.383061015,Emitter_2,Emitter_2
5400.567156,0.076486193,0,Emitter_1,Emitter_1
5401.012448,1.735704724,1.947563213,Emitter_2,Emitter_2
5405.420339,1.04783634,1.597486769,Noise,Noise
5400.270836,1.657675545,1.158534229,Emitter_2,Emitter_2
5400,2,1.689359733,Emitter_2,Emitter_2
5403.404905,1.759479659,1.082351568,Emitter_2,Emitter_2
5400,0.318220844,0.149066366,Emitter_1,Emitter_1
5405.735062,1.78121845,1.75668217,Emitter_2,Emitter_2
5400,1.312556315,1.103037449,Emitter_2,Emitter_2
5410,0.138645165,0,Emitter_1,Emitter_1
5407.222729,2,1.733944541,Emitter_2,Emitter_2
5400,1.776418657,2,Emitter_2,Emitter_2
5410,1.442252304,0.858558616,Emitter_2,Emitter_2
5400,1.334187374,1.442495721,Emitter_2,Emitter_2
5403.283223,1.675248639,1.91348143,Emitter_2,Emitter_2
5400,1.53271675,0.887410026,Emitter_2,Emitter_2
5400.7416,0.011856922,0,Emitter_1,Emitter_1
5411.77458,1.569918201,0.833913203,Emitter_2,Noise
5406.516061,1.107796386,1.023144779,Emitter_2,Emitter_2
5406.925687,1.843245008,1.518676454,Emitter_2,Emitter_2
5410,1.355537285,1.072667002,Emitter_2,Emitter_2
5403.051937,2,1.713426673,Emitter_2,Emitter_2
5402.111465,0.812305345,0.842265743,Noise,Noise
5400,2,1.62237931,Emitter_2,Emitter_2
5400,0.109499818,0.308741173,Emitter_1,Emitter_1
5407.210449,1.376498233,0.476460865,Noise,Emitter_2
5406.411598,0.1991697,0,Emitter_1,Emitter_1
5400.946129,1.490759518,1.745141486,Emitter_2,Emitter_2
5400,1.75217993,1.198685034,Emitter_2,Emitter_2
5400,1.419922946,0.840665478,Emitter_2,Emitter_2
5408.034126,1.966406844,1.926246999,Emitter_2,Emitter_2
5406.384808,1.704380118,1.522260028,Noise,Emitter_2
5400,1.367453484,0.923139534,Emitter_2,Emitter_2
5410,0.138256182,0.149700067,Emitter_1,Emitter_1
5400,0.535750466,0.172573412,Emitter_1,Emitter_1
5410,0.099109364,0,Emitter_1,Emitter_1
5400,1.884187182,1.849537332,Emitter_2,Emitter_2
5406.680362,1.624724541,1.31697654,Emitter_2,Emitter_2
5400,1.655381497,0.839966446,Emitter_2,Emitter_2
5400,2,1.561363366,Emitter_2,Emitter_2
5409.004088,2,1.903257496,Emitter_2,Emitter_2
5400,1.605504376,1.066245798,Emitter_2,Emitter_2
5408.030717,0.295880689,0,Emitter_1,Emitter_1
5407.816932,1.69265565,2,Emitter_2,Emitter_2
5410,1.406485002,1.430275452,Emitter_2,Emitter_2
5400.600287,0.557032378,1.514191686,Noise,Noise
5400,1.610695724,1.065123107,Emitter_2,Emitter_2
5405.973495,0.031030167,0,Emitter_1,Emitter_1
5400,1.804306708,1.05477089,Emitter_2,Emitter_2
5410.781666,1.752255067,1.798359714,Emitter_2,Noise
5400,1.882430468,1.643341224,Emitter_2,Emitter_2
5408.508339,1.238019435,0.749001892,Emitter_2,Emitter_2
5410,1.833132924,1.58090757,Emitter_2,Emitter_2
5407.0296,1.650820555,0.851001427,Emitter_2,Emitter_2
5400,1.43889579,1.259360763,Emitter_2,Emitter_2
5402.528712,1.177729875,0.76176043,Noise,Emitter_2
5400.333437,0.136421665,0.179505944,Emitter_1,Emitter_1
5410,1.747557133,1.564617203,Emitter_2,Emitter_2
5401.015652,1.080813464,0.43740515,Noise,Emitter_2
5400,0.561747007,0,Emitter_1,Emitter_1
5400,1.637115849,1.719573221,Emitter_2,Emitter_2
5404.518043,1.851479358,1.485569227,Emitter_2,Emitter_2
5400.344701,1.111068935,0.870126003,Emitter_2,Emitter_2
5410,1.721457799,2,Emitter_2,Emitter_2
5401.416785,1.647274662,0.767410579,Emitter_2,Emitter_2
5402.764473,0.330766879,1.592727106,Noise,Noise
5410,1.36880721,1.192405965,Emitter_2,Emitter_2
5400,1.915796317,2,Emitter_2,Emitter_2
5400,2,1.771324934,Emitter_2,Emitter_2
5400,0.008879242,0,Emitter_1,Emitter_1
5406.223958,1.662415883,0.790266954,Noise,Emitter_2
5400,0.410693854,0,Emitter_1,Emitter_1
