Radio Frequency,Pulse Width,Azimuth,Angle Of Elevation
5400,180.2022291,1.85258553,1.462401268
5403.376784,133.8177207,1.820455487,1.437118393
5401.470522,599.1820302,1.604163543,0.994852023
5400,127.9245447,2,1.746854014
5400.824143,1030.705389,0.364008945,1.56927271
5400.320974,124.8915534,1.891461799,1.912631463
5400,1060.397238,0.553146881,0.611934776
5400,1010.480127,0,0.628146871
5400,1070.938489,0,0
5407.409948,158.8157733,1.831916276,1.9089803
5408.212526,1031.910864,0.168698738,0.343138415
5405.429253,1006.015844,0.2767774,0.381544634
5400,1023.049555,0,0.179503843
5410,147.253187,1.864830311,1.536300492
5400,149.3820816,2,1.950152138
5408.777078,159.6186868,2,1.907033108
5400,156.2964109,1.762020098,1.627691535
5407.336556,291.1334999,1.830734285,1.778283106
5407.001248,1022.810981,-0.137948223,0.520080175
5404.682072,988.5084611,0.14339323,0.450311017
5410,163.8057786,1.966592572,1.771892967
5406.051315,160.2583002,1.654592524,2
5400,1043.988001,0.493643009,0.80457926
5400,1040.390336,0.177313386,0.255521907
5410,1015.821714,0.258651757,0.452098119
5410,139.6995258,1.470953377,1.740656627
5400,1096.196067,0,0
5405.602846,560.4094089,0.034840038,1.485266128
5400,1011.686144,0,0.020622446
5400.889875,113.3645471,1.924546816,1.927161244
5400,991.191563,0.273371458,0.805061713
5410,139.6304113,1.746159806,1.858155718
5406.885971,1057.039519,0.272851005,0.500477797
5401.384345,608.2245344,0.580763397,1.907894609
5400,1052.296752,0,0.32678792
5400,1003.492322,0.243829005,0.573297455
5410,1003.64335,0.489745927,0.630147905
5400,1015.917223,0.422194487,0.844232566
5400,1080.279986,0.058348514,0
5407.31442,144.1279832,1.905875444,1.640431398
5405.40188,158.426554,1.584722774,1.606801592
5402.3335,499.2028164,1.438397292,0.653663964
5400,988.6333123,0.512331856,0.193428875
5402.063626,1042.59952,0.312849712,0.142476293
5400,1016.590186,0.297948657,0.716336691
5409.673301,139.7326547,0.697893652,1.299663815
5400,139.9668566,1.837574184,1.950270955
5408.336903,956.7185177,0.136160987,0.674989502
5410,1035.716466,0.605983297,0.57022946
5400,1023.22924,0.254418707,0.493785654
5400,1072.899671,0.533867649,0.623285187
5402.117382,994.1325492,0.186569413,0.85415375
5405.784308,618.7710496,0.898661181,0.858367262
5401.527754,1026.436547,0.163129886,0.214658747
5400.521091,357.8360403,0.35265185,1.848739173
5400,150.6247582,1.86687968,1.888407235
5400.080752,993.9446137,0.548438714,0.395690284
5403.674127,126.4606346,2,1.89111266
5400,1007.340492,0.674991669,0.450140086
5408.467787,1019.914267,0.3422336,0.440503713
5410,1063.91702,0,0.027336343
5409.789001,1040.313874,0.042207265,0.032476764
5400,146.8879804,1.912840818,2
5401.739796,127.7226644,1.987395451,1.56731671
5400,1033.23851,0,0.148517118
5408.08512,163.2328762,2,1.767158601
5400,118.0988736,1.663459553,1.713417075
5403.462673,796.3443716,0.798523479,0.328738355
5410,1019.353933,0.017241076,0.166961881
5410,1007.358501,0.095570872,0.494708691
5406.826818,1028.319456,0.412199592,0.529392404
5400,1012.326667,0.553924932,0.603495733
5406.342428,148.8682657,1.561277574,1.783326424
5408.808101,1001.341042,0.163167972,0.188514352
5407.860506,188.5247042,2,1.884665434
5400,100,1.332653335,1.737816579
5404.320755,142.4039322,1.960568089,1.982480472
5401.96123,122.3981297,1.579186133,1.809732715
5410,1024.480691,0.387385833,0.429585141
5400,165.5703493,1.728770759,1.929722071
5403.292327,152.6931976,1.994590379,1.365012356
5400,152.6178283,1.642986281,1.81165086
5400,161.9588466,1.651600555,2
5401.709304,107.8633382,1.59876719,2
5410,146.0774741,1.745093235,1.951833104
5410,1036.057977,0.137624352,0.021232597
5410,1013.700278,0.053554963,0.588785397
5400,130.5595607,1.609384271,1.458191269
5400,127.1909413,1.858188985,1.760717016
5403.870922,1017.726573,0.742301131,0.481459612
5400.36006,118.07266,1.721975451,1.836715794
5409.728705,429.1616242,1.941259739,1.848185668
5406.733313,129.7892879,1.382707918,1.875831385
5400.203756,427.3587922,1.920029329,0.120859749
5404.705854,149.0510631,1.700792778,1.727697568
5404.499661,1026.256252,0.190708546,0.261719406
5410,126.6270633,1.739652018,1.661386673
5404.148963,1058.322227,0.312937259,0.209343403
5402.896889,1081.493572,0.050231628,0.036567767
5400,117.7972243,1.78169682,1.673654378
5407.071147,1082.871989,0.055195295,0
5410,995.3668432,0.522494685,0.343171529
5410,993.1159313,0.271469535,0.734102293
5406.714606,221.1696104,0.348538644,1.45479957
5410,989.3153707,0.435968214,0.261060533
5400.881784,147.9365677,1.707942146,1.677444445
5406.944168,100,1.771548954,2
5403.37509,1010.318005,0.353987304,0.777311117
5400,1058.017046,0.27849198,0.078633729
5410,1046.996454,0.5017888,0.474976872
5400,1078.658494,0.21665978,0
5400,1033.275588,0,0
5410,1049.004305,0.63682454,0.443777042
5400,1029.100918,0.085944197,0.300236502
5400,154.8178437,1.564060803,2
5400,1069.40782,0.255420275,0
5408.218915,1020.510211,0.160383791,0.382316947
5410,133.7279521,1.671328827,2
5400,137.8178884,1.64846844,1.788584412
5410,1020.815021,0.680186005,0.208686267
5402.465985,151.3227311,2,1.746136865
5400.199556,1026.748953,0.157347876,0.617248353
5410,120.9417585,1.362238588,1.659426888
5400,1061.139823,0.147433392,0.311278503
5404.867283,159.7010802,1.997134659,1.606111428
5400,1031.219484,0.481125467,0.391869818
5400,1037.645494,0.420373034,0.856740991
5401.465493,1044.308018,0.150558324,0.169729942
5400,131.8855268,1.837666505,1.664922422
5410,1027.328155,0.383044403,0.600001852
5410,127.7330829,1.915859755,1.645628271
5400,116.5531111,2,1.680275846
5403.491652,161.8150955,1.700538237,2
5410,1047.966434,0.23587036,1.148352646
5409.177725,399.0807166,1.217305295,1.389863312
5406.740631,161.8475217,1.616366035,1.659339234
5403.358759,886.4463885,0.383558486,0.555650797
5410,143.1496722,2,1.778795176
5410,1040.777322,0.348699607,0.231137015
5405.419895,903.1837858,1.510656449,0.827487115
5404.185773,1022.329122,0,0.39601027
5410,139.7139879,1.738331485,1.877820545
5410,116.8667593,1.618779749,1.906535911
5400,127.0817872,1.856143045,1.742022053
5400.622877,1008.796794,0.387363503,0.744222567
5407.656143,210.7499447,1.333184691,0.004109113
5400,132.5015561,2,1.490149607
5400,138.5256683,1.794353588,1.634498215
5400.329572,1012.110232,0.591771193,0.35844085
5400,985.2651929,0.41629771,0.265167741
5400.806985,224.2928276,1.474181143,1.491883704
5410,102.0117675,1.613399746,1.798100239
5405.493484,1043.665659,0.267229671,0.667020904
5408.664015,151.1494396,1.723206953,1.45654664
5410,148.8442975,1.706474142,1.797766716
5400,1019.106114,0.189139666,0.447882878
5407.286805,122.0799889,2,1.87505271
5410,1007.039324,0.414511414,0.769525639
5408.879826,1040.562093,0,0.11966252
5400,994.3160864,0.76726249,0.528074151
5407.401582,1069.76256,0.183739965,0
5406.859556,127.927139,1.370137167,2
5403.674923,1010.003039,0.336073255,0.460850064
